"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9644","SG","James","Harden","48.4","20","10800","SAC@HOU","HOU","SAC","","","",""
"12362","C","DeMarcus","Cousins","45.3","12","10300","SAC@HOU","SAC","HOU","","","",""
"9488","SF","LeBron","James","45.5","19","10000","CLE@MIA","CLE","MIA","","","",""
"12341","SF","Paul","George","42.7","18","9700","IND@UTA","IND","UTA","","","",""
"20848","PG","Damian","Lillard","39.6","20","9500","POR@MIN","POR","MIN","","","",""
"9560","PF","Blake","Griffin","42.3","19","9100","ORL@LAC","LAC","ORL","","","",""
"14513","SF","Kawhi","Leonard","39.6","19","8900","BOS@SA","SA","BOS","","","",""
"9623","PG","Chris","Paul","34.4","15","8800","ORL@LAC","LAC","ORL","O","Ribs","",""
"9508","SF","Carmelo","Anthony","36","19","8300","NY@MIL","NY","MIL","","","",""
"14528","SG","Jimmy","Butler","35.2","16","8300","CHA@CHI","CHI","CHA","","","",""
"9874","PF","Kevin","Love","36","19","8200","CLE@MIA","CLE","MIA","","","",""
"12363","C","Hassan","Whiteside","35.2","17","8100","CLE@MIA","MIA","CLE","","","",""
"9570","PF","Pau","Gasol","35","16","8100","CHA@CHI","CHI","CHA","","","",""
"9455","PG","Rajon","Rondo","36.5","20","8000","SAC@HOU","SAC","HOU","","","",""
"12351","PF","Derrick","Favors","34.1","16","7900","IND@UTA","UTA","IND","","","",""
"9718","PF","Chris","Bosh","34.1","17","7900","CLE@MIA","MIA","CLE","","","",""
"9660","C","Dwight","Howard","32.8","14","7800","SAC@HOU","HOU","SAC","","","",""
"14507","PG","Kemba","Walker","32.2","18","7700","CHA@CHI","CHA","CHI","","","",""
"14559","PG","Isaiah","Thomas","33.7","19","7600","BOS@SA","BOS","SA","","","",""
"12337","C","Greg","Monroe","33.7","20","7500","NY@MIL","MIL","NY","","","",""
"15684","SG","Victor","Oladipo","29.8","17","7400","ORL@LAC","ORL","LAC","","","",""
"49116","SF","Andrew","Wiggins","29.9","17","7400","POR@MIN","MIN","POR","","","",""
"63122","PF","Kristaps","Porzingis","30.4","20","7300","NY@MIL","NY","MIL","","","",""
"14514","C","Nikola","Vucevic","31.5","16","7300","ORL@LAC","ORL","LAC","","","",""
"9561","C","DeAndre","Jordan","32.9","19","7200","ORL@LAC","LAC","ORL","","","",""
"9585","SG","Dwyane","Wade","30.5","16","7200","CLE@MIA","MIA","CLE","","","",""
"9688","PF","LaMarcus","Aldridge","29.4","18","7200","BOS@SA","SA","BOS","","","",""
"9809","SF","Nicolas","Batum","31.5","18","7100","CHA@CHI","CHA","CHI","","","",""
"40203","C","Rudy","Gobert","29.5","14","7100","IND@UTA","UTA","IND","O","Knee","",""
"9577","SF","Rudy","Gay","29.8","18","7000","SAC@HOU","SAC","HOU","","","",""
"9710","C","Tim","Duncan","28.5","19","7000","BOS@SA","SA","BOS","","","",""
"19067","SG","C.J.","McCollum","29.6","20","6900","POR@MIN","POR","MIN","","","",""
"14496","PG","Ricky","Rubio","29.5","12","6900","POR@MIN","MIN","POR","","","",""
"9475","PG","Derrick","Rose","25.9","14","6800","CHA@CHI","CHI","CHA","","","",""
"40199","SG","Giannis","Antetokounmpo","28.8","19","6700","NY@MIL","MIL","NY","","","",""
"12366","SF","Gordon","Hayward","28.4","17","6600","IND@UTA","UTA","IND","","","",""
"14518","SF","Tobias","Harris","28.5","19","6600","ORL@LAC","ORL","LAC","","","",""
"58462","C","Karl-Anthony","Towns","30","18","6600","POR@MIN","MIN","POR","","","",""
"19138","PG","Elfrid","Payton","26.1","19","6500","ORL@LAC","ORL","LAC","","","",""
"9609","C","Al","Jefferson","26.9","17","6500","CHA@CHI","CHA","CHI","O","Calf","",""
"14519","PF","Donatas","Motiejunas","0","0","6400","SAC@HOU","HOU","SAC","O","Back","",""
"9526","SG","Monta","Ellis","25.1","18","6000","IND@UTA","IND","UTA","GTD","Back","",""
"12334","SG","Avery","Bradley","24.9","17","6000","BOS@SA","BOS","SA","","","",""
"16008","PF","Jared","Sullinger","27.7","19","5900","BOS@SA","BOS","SA","","","",""
"15590","C","Mason","Plumlee","26.1","20","5900","POR@MIN","POR","MIN","","","",""
"9703","PG","George","Hill","24.5","15","5900","IND@UTA","IND","UTA","","","",""
"9538","SF","Trevor","Ariza","23.9","20","5800","SAC@HOU","HOU","SAC","","","",""
"40783","SG","Zach","LaVine","23.9","18","5800","POR@MIN","MIN","POR","","","",""
"16261","SF","Khris","Middleton","24.4","20","5700","NY@MIL","MIL","NY","","","",""
"9484","PG","Mo","Williams","23.8","16","5700","CLE@MIA","CLE","MIA","","","",""
"9673","PG","Goran","Dragic","21.9","17","5700","CLE@MIA","MIA","CLE","","","",""
"15757","PF","Terrence","Jones","20.8","15","5600","SAC@HOU","HOU","SAC","","","",""
"23096","SG","Evan","Fournier","26","19","5600","ORL@LAC","ORL","LAC","","","",""
"14522","SF","Nikola","Mirotic","21.7","16","5600","CHA@CHI","CHI","CHA","GTD","Concussion","",""
"14510","SG","Alec","Burks","23.6","17","5600","IND@UTA","UTA","IND","","","",""
"9702","PG","Tony","Parker","23.7","20","5600","BOS@SA","SA","BOS","","","",""
"16201","PG","Michael","Carter-Williams","21.9","15","5500","NY@MIL","MIL","NY","","","",""
"14501","PF","Tristan","Thompson","22.6","19","5500","CLE@MIA","CLE","MIA","","","",""
"9506","SG","J.R.","Smith","20.2","16","5400","CLE@MIA","CLE","MIA","","","",""
"12342","SF","Al-Farouq","Aminu","23.5","20","5400","POR@MIN","POR","MIN","","","",""
"9953","C","Ian","Mahinmi","22.5","17","5300","IND@UTA","IND","UTA","","","",""
"23670","PG","Marcus","Smart","21.7","9","5300","BOS@SA","BOS","SA","O","Leg","",""
"9725","SF","C.J.","Miles","22.5","15","5300","IND@UTA","IND","UTA","","","",""
"15800","SF","Jae","Crowder","24.1","19","5200","BOS@SA","BOS","SA","","","",""
"9752","C","Jordan","Hill","22","16","5000","IND@UTA","IND","UTA","","","",""
"9479","SF","Luol","Deng","19","13","5000","CLE@MIA","MIA","CLE","GTD","Hamstring","",""
"9624","PG","Darren","Collison","21.1","15","5000","SAC@HOU","SAC","HOU","","","",""
"9451","PF","Marvin","Williams","23.6","18","4900","CHA@CHI","CHA","CHI","","","",""
"42550","PF","Jabari","Parker","16.5","14","4900","NY@MIL","MIL","NY","","","",""
"12359","SF","Evan","Turner","20.6","19","4900","BOS@SA","BOS","SA","","","",""
"9514","SG","Rodney","Stuckey","19.6","13","4900","IND@UTA","IND","UTA","","","",""
"9507","SG","Arron","Afflalo","20.6","12","4900","NY@MIL","NY","MIL","","","",""
"12365","PF","Ed","Davis","20.2","20","4800","POR@MIN","POR","MIN","","","",""
"12459","C","Nikola","Pekovic","0","0","4800","POR@MIN","MIN","POR","O","Achilles","",""
"9862","C","Amir","Johnson","19.4","19","4700","BOS@SA","BOS","SA","","","",""
"9964","PG","Ty","Lawson","16.9","19","4700","SAC@HOU","HOU","SAC","","","",""
"55059","C","Clint","Capela","20.8","20","4700","SAC@HOU","HOU","SAC","","","",""
"9731","C","Kosta","Koufos","20.4","20","4600","SAC@HOU","SAC","HOU","","","",""
"15771","C","Gorgui","Dieng","18.9","18","4600","POR@MIN","MIN","POR","","","",""
"15843","PG","Trey","Burke","16.4","17","4600","IND@UTA","UTA","IND","","","",""
"9810","PG","Jerryd","Bayless","21.9","19","4600","NY@MIL","MIL","NY","O","Ankle","",""
"15669","C","Meyers","Leonard","18.1","13","4600","POR@MIN","POR","MIN","","","",""
"15559","SG","Jeremy","Lamb","22","17","4600","CHA@CHI","CHA","CHI","","","",""
"15904","SG","Rodney","Hood","21","16","4600","IND@UTA","UTA","IND","","","",""
"9704","SG","Manu","Ginobili","19.9","16","4500","BOS@SA","SA","BOS","","","",""
"20064","PG","Matthew","Dellavedova","19.3","18","4400","CLE@MIA","CLE","MIA","","","",""
"9483","C","Joakim","Noah","19.4","15","4400","CHA@CHI","CHI","CHA","","","",""
"9712","PG","Jose","Calderon","17.3","20","4400","NY@MIL","NY","MIL","","","",""
"12443","PG","Jeremy","Lin","18.8","18","4400","CHA@CHI","CHA","CHI","","","",""
"9481","PF","Taj","Gibson","16.7","16","4300","CHA@CHI","CHI","CHA","","","",""
"9655","SG","J.J.","Redick","17","16","4300","ORL@LAC","LAC","ORL","GTD","Ankle","",""
"9960","SF","Omri","Casspi","20.9","19","4200","SAC@HOU","SAC","HOU","GTD","Illness","",""
"9448","SG","Jamal","Crawford","17.5","19","4200","ORL@LAC","LAC","ORL","","","",""
"9547","SF","Mike","Dunleavy","0","0","4200","CHA@CHI","CHI","CHA","O","Back","",""
"9449","PF","Josh","Smith","15.3","19","4100","ORL@LAC","LAC","ORL","","","",""
"9873","C","Robin","Lopez","18.7","20","4000","NY@MIL","NY","MIL","","","",""
"9638","PF","David","Lee","14","19","4000","BOS@SA","BOS","SA","","","",""
"9694","SG","Kevin","Martin","16.5","17","4000","POR@MIN","MIN","POR","","","",""
"17218","PF","Andrew","Nicholson","14.8","10","4000","ORL@LAC","ORL","LAC","","","",""
"17230","SG","Langston","Galloway","17.8","20","4000","NY@MIL","NY","MIL","","","",""
"9534","PG","Aaron","Brooks","14.6","11","3900","CHA@CHI","CHI","CHA","","","",""
"12368","SF","Nemanja","Bjelica","18.3","14","3900","POR@MIN","MIN","POR","","","",""
"12369","SG","Lance","Stephenson","12.3","18","3900","ORL@LAC","LAC","ORL","","","",""
"22541","C","Kelly","Olynyk","16.6","18","3900","BOS@SA","BOS","SA","","","",""
"12335","PF","Kevin","Seraphin","10.2","16","3900","NY@MIL","NY","MIL","","","",""
"12474","PG","Patrick","Beverley","14.7","13","3900","SAC@HOU","HOU","SAC","","","",""
"9758","SG","Danny","Green","16.7","20","3800","BOS@SA","SA","BOS","","","",""
"18600","PG","Tyler","Johnson","15.4","16","3800","CLE@MIA","MIA","CLE","","","",""
"15727","SG","Ben","McLemore","12.3","20","3800","SAC@HOU","SAC","HOU","","","",""
"9955","SG","Marcus","Thornton","17.4","18","3800","SAC@HOU","HOU","SAC","","","",""
"9939","PG","Patrick","Mills","15.2","20","3800","BOS@SA","SA","BOS","","","",""
"58084","SF","Justise","Winslow","15.6","17","3800","CLE@MIA","MIA","CLE","","","",""
"12350","PF","Trevor","Booker","14.3","16","3800","IND@UTA","UTA","IND","GTD","Illness","",""
"9680","PF","Amar'e","Stoudemire","8.7","2","3800","CLE@MIA","MIA","CLE","O","Illness","",""
"9682","PG","Andre","Miller","13","9","3800","POR@MIN","MIN","POR","","","",""
"9778","PF","Josh","McRoberts","10","17","3700","CLE@MIA","MIA","CLE","","","",""
"9461","PF","Kevin","Garnett","13.5","16","3700","POR@MIN","MIN","POR","","","",""
"41594","PF","Aaron","Gordon","17.8","19","3700","ORL@LAC","ORL","LAC","","","",""
"9478","SG","Kirk","Hinrich","13.6","7","3700","CHA@CHI","CHI","CHA","GTD","Hip","",""
"9563","C","Chris","Kaman","7.5","3","3700","POR@MIN","POR","MIN","O","Ankle","",""
"9574","SG","O.J.","Mayo","16.8","9","3700","NY@MIL","MIL","NY","","","",""
"9606","SF","Corey","Brewer","13.1","20","3700","SAC@HOU","HOU","SAC","","","",""
"23757","PG","Brian","Roberts","6.1","8","3700","CHA@CHI","CHA","CHI","","","",""
"9715","SG","Marco","Belinelli","16.8","20","3700","SAC@HOU","SAC","HOU","","","",""
"9849","SG","Gerald","Green","13.8","11","3600","CLE@MIA","MIA","CLE","","","",""
"23823","C","Willie","Cauley-Stein","14.2","20","3600","SAC@HOU","SAC","HOU","O","Finger","",""
"16448","PF","Frank","Kaminsky","10.4","17","3600","CHA@CHI","CHA","CHI","","","",""
"9962","PF","Jonas","Jerebko","8.6","19","3600","BOS@SA","BOS","SA","","","",""
"9525","PG","C.J.","Watson","13.1","8","3600","ORL@LAC","ORL","LAC","O","Calf","",""
"15501","SG","Allen","Crabbe","13.5","20","3600","POR@MIN","POR","MIN","","","",""
"9551","PF","Tyler","Hansbrough","7.7","6","3600","CHA@CHI","CHA","CHI","","","",""
"12344","PG","Greivis","Vasquez","15.6","16","3600","NY@MIL","MIL","NY","O","Ankle","",""
"9629","PF","David","West","12.2","20","3600","BOS@SA","SA","BOS","","","",""
"12424","C","Timofey","Mozgov","13.9","16","3600","CLE@MIA","CLE","MIA","","","",""
"9700","C","Spencer","Hawes","12.5","17","3600","CHA@CHI","CHA","CHI","","","",""
"59318","SF","Joe","Ingles","7.4","17","3500","IND@UTA","UTA","IND","","","",""
"15792","C","Johnny","O'Bryant","8.9","18","3500","NY@MIL","MIL","NY","","","",""
"9785","SF","James","Jones","5.5","19","3500","CLE@MIA","CLE","MIA","","","",""
"20907","C","Shayne","Whittington","-2","1","3500","IND@UTA","IND","UTA","","","",""
"63123","SF","Mario","Hezonja","5.6","18","3500","ORL@LAC","ORL","LAC","","","",""
"9736","SF","Caron","Butler","5.2","8","3500","SAC@HOU","SAC","HOU","","","",""
"16301","C","Dewayne","Dedmon","13.1","14","3500","ORL@LAC","ORL","LAC","","","",""
"15864","PF","Adreian","Payne","8.3","12","3500","POR@MIN","MIN","POR","","","",""
"55376","SF","Damjan","Rudez","3.9","8","3500","POR@MIN","MIN","POR","","","",""
"16363","SG","Joe","Harris","1.7","5","3500","CLE@MIA","CLE","MIA","","","",""
"9796","SF","Luc Richard","Mbah a Moute","4.3","17","3500","ORL@LAC","LAC","ORL","","","",""
"58253","PF","Myles","Turner","11.5","8","3500","IND@UTA","IND","UTA","O","Finger","",""
"17517","SG","Tony","Snell","12","16","3500","CHA@CHI","CHI","CHA","","","",""
"58661","SG","Rashad","Vaughn","4.4","13","3500","NY@MIL","MIL","NY","","","",""
"17520","PF","Cameron","Bairstow","2.8","2","3500","CHA@CHI","CHI","CHA","","","",""
"16178","SF","Maurice","Harkless","13.5","20","3500","POR@MIN","POR","MIN","","","",""
"16443","PF","Duje","Dukan","0","0","3500","SAC@HOU","SAC","HOU","","","",""
"16925","PF","Jarnell","Stokes","1.2","2","3500","CLE@MIA","MIA","CLE","","","",""
"16202","PF","Rakeem","Christmas","0","0","3500","IND@UTA","IND","UTA","","","",""
"15736","C","Jeff","Withey","7.3","9","3500","IND@UTA","UTA","IND","","","",""
"58150","PF","Cliff","Alexander","3.7","6","3500","POR@MIN","POR","MIN","","","",""
"16233","SG","Josh","Richardson","3.7","7","3500","CLE@MIA","MIA","CLE","","","",""
"15691","PF","Cody","Zeller","15.2","16","3500","CHA@CHI","CHA","CHI","","","",""
"9942","SF","Chase","Budinger","10","18","3500","IND@UTA","IND","UTA","","","",""
"20805","SG","Troy","Daniels","3.2","6","3500","CHA@CHI","CHA","CHI","","","",""
"9459","SF","Paul","Pierce","10.5","18","3500","ORL@LAC","LAC","ORL","","","",""
"17462","SG","Chris","Johnson","2.9","13","3500","IND@UTA","UTA","IND","","","",""
"9471","PF","Boris","Diaw","13.3","20","3500","BOS@SA","SA","BOS","","","",""
"9951","SG","Gerald","Henderson","9.8","12","3500","POR@MIN","POR","MIN","","","",""
"15699","SG","Roy Devyn","Marble","0.8","5","3500","ORL@LAC","ORL","LAC","","","",""
"9496","PG","Jason","Terry","9","16","3500","SAC@HOU","HOU","SAC","","","",""
"58081","PG","Tyus","Jones","2.9","2","3500","POR@MIN","MIN","POR","","","",""
"9490","C","Anderson","Varejao","6","16","3500","CLE@MIA","CLE","MIA","","","",""
"15532","SF","K.J.","McDaniels","3.3","7","3500","SAC@HOU","HOU","SAC","","","",""
"12354","C","Cole","Aldrich","1.8","5","3500","ORL@LAC","LAC","ORL","","","",""
"14554","PG","E'Twaun","Moore","9.5","16","3500","CHA@CHI","CHI","CHA","","","",""
"12353","C","Tibor","Pleiss","1.6","4","3500","IND@UTA","UTA","IND","","","",""
"14549","PF","Lavoy","Allen","14","17","3500","IND@UTA","IND","UTA","","","",""
"16063","PF","Eric","Moreland","3.8","5","3500","SAC@HOU","SAC","HOU","","","",""
"41063","PF","Jordan","Mickey","6.1","2","3500","BOS@SA","BOS","SA","","","",""
"12364","SG","James","Anderson","4.5","12","3500","SAC@HOU","SAC","HOU","","","",""
"16059","SG","Jared","Cunningham","6","16","3500","CLE@MIA","CLE","MIA","","","",""
"9513","C","Chris","Andersen","3.8","3","3500","CLE@MIA","MIA","CLE","","","",""
"9518","SF","Tayshaun","Prince","7.2","18","3500","POR@MIN","MIN","POR","","","",""
"63826","C","Boban","Marjanovic","3.7","10","3500","BOS@SA","SA","BOS","","","",""
"18352","PG","Ray","McCallum","2.2","10","3500","BOS@SA","SA","BOS","","","",""
"16859","SF","Lance","Thomas","9.3","20","3500","NY@MIL","NY","MIL","","","",""
"9567","SG","Sasha","Vujacic","9.1","14","3500","NY@MIL","NY","MIL","","","",""
"9559","SF","Rasual","Butler","6.4","17","3500","BOS@SA","SA","BOS","","","",""
"15591","C","Miles","Plumlee","4.1","15","3500","NY@MIL","MIL","NY","","","",""
"16071","PG","Tim","Frazier","2.2","10","3500","POR@MIN","POR","MIN","","","",""
"17384","C","Kyle","O'Quinn","12.3","17","3500","NY@MIL","NY","MIL","","","",""
"9540","C","Chuck","Hayes","6.8","2","3500","SAC@HOU","HOU","SAC","","","",""
"12828","SF","Elijah","Millsap","3.9","8","3500","IND@UTA","UTA","IND","","","",""
"12348","SF","Wesley","Johnson","7.9","19","3500","ORL@LAC","LAC","ORL","","","",""
"14500","PF","Derrick","Williams","12","19","3500","NY@MIL","NY","MIL","","","",""
"15592","PG","Austin","Rivers","13.3","19","3500","ORL@LAC","LAC","ORL","","","",""
"15583","SG","Seth","Curry","6.5","10","3500","SAC@HOU","SAC","HOU","","","",""
"63478","C","Cristiano","Felicio","1.8","2","3500","CHA@CHI","CHI","CHA","","","",""
"63477","SF","Luis","Montero","1.6","2","3500","POR@MIN","POR","MIN","","","",""
"9589","PF","Udonis","Haslem","5.5","5","3500","CLE@MIA","MIA","CLE","","","",""
"15560","PG","Shabazz","Napier","8.9","18","3500","ORL@LAC","ORL","LAC","","","",""
"15417","SG","Solomon","Hill","4.1","7","3500","IND@UTA","IND","UTA","","","",""
"42671","SF","James","Young","1.5","4","3500","BOS@SA","BOS","SA","","","",""
"18828","SG","Joseph","Young","2.8","7","3500","IND@UTA","IND","UTA","","","",""
"42664","PG","Aaron","Harrison","2.2","2","3500","CHA@CHI","CHA","CHI","","","",""
"42661","PF","Noah","Vonleh","7","20","3500","POR@MIN","POR","MIN","","","",""
"18821","SG","Jonathon","Simmons","7.7","7","3500","BOS@SA","SA","BOS","","","",""
"23800","SF","Glenn","Robinson III","8.4","12","3500","IND@UTA","IND","UTA","","","",""
"23776","PF","Montrezl","Harrell","7","15","3500","SAC@HOU","HOU","SAC","","","",""
"42677","PG","Terry","Rozier","3.3","13","3500","BOS@SA","BOS","SA","","","",""
"42156","PF","Bobby","Portis","7","3","3500","CHA@CHI","CHI","CHA","","","",""
"18256","SF","Doug","McDermott","12.6","16","3500","CHA@CHI","CHI","CHA","","","",""
"23220","SF","Chris","Copeland","4.1","15","3500","NY@MIL","MIL","NY","","","",""
"15961","C","Tyler","Zeller","7.3","13","3500","BOS@SA","BOS","SA","","","",""
"55061","SF","Damien","Inglis","4.3","5","3500","NY@MIL","MIL","NY","","","",""
"9693","PG","Beno","Udrih","9.2","12","3500","CLE@MIA","MIA","CLE","","","",""
"15952","PF","John","Henson","14.5","16","3500","NY@MIL","MIL","NY","","","",""
"23248","SG","RJ","Hunter","5.7","13","3500","BOS@SA","BOS","SA","","","",""
"9669","PF","Jason","Smith","10.2","14","3500","ORL@LAC","ORL","LAC","","","",""
"15469","PF","Quincy","Acy","6.1","10","3500","SAC@HOU","SAC","HOU","","","",""
"23716","SF","Kyle","Anderson","8.2","20","3500","BOS@SA","SA","BOS","","","",""
"23717","SF","Shabazz","Muhammad","10.6","18","3500","POR@MIN","MIN","POR","","","",""
"15951","SF","P.J.","Hairston","8.5","15","3500","CHA@CHI","CHA","CHI","","","",""
"9679","PF","Louis","Amundson","6","10","3500","NY@MIL","NY","MIL","","","",""
"9678","PF","Channing","Frye","11.9","14","3500","ORL@LAC","ORL","LAC","","","",""
"58461","PF","Trey","Lyles","4.7","15","3500","IND@UTA","UTA","IND","","","",""
"23234","PG","Pablo","Prigioni","6","6","3500","ORL@LAC","LAC","ORL","","","",""
"15993","SG","Pat","Connaughton","0.9","6","3500","POR@MIN","POR","MIN","","","",""
"15996","PG","Jerian","Grant","12.4","20","3500","NY@MIL","NY","MIL","","","",""
"24244","SF","Cleanthony","Early","2.1","7","3500","NY@MIL","NY","MIL","","","",""
"42689","PG","Tyler","Ennis","7.3","9","3500","NY@MIL","MIL","NY","O","Shoulder","",""
"23282","SF","Sam","Dekker","1.1","3","3500","SAC@HOU","HOU","SAC","O","Back","",""
"40208","PG","Raul","Neto","10.6","17","3500","IND@UTA","UTA","IND","","","",""
"66520","C","Sasha","Kaun","1.7","4","3500","CLE@MIA","CLE","MIA","","","",""
"9709","C","Matt","Bonner","2.6","6","3500","BOS@SA","SA","BOS","","","",""
"9706","SF","Richard","Jefferson","11","19","3500","CLE@MIA","CLE","MIA","","","",""